"Model","Validation","Threshold","Accuracy","Sensitivity","Specificity","Notes"
"Logistic regression","LOOCV",0.5,0.667,0,0.833,"Conservative threshold"
"Logistic regression","LOOCV",0.25,0.667,0.333,0.75,"Precautionary threshold"
